Date,BMY,HSIC,HRB,GE,INCY
2017/4/7,48.88917923,65.70587921,20.74272156,26.72583771,140.1100006
2017/4/10,48.82511139,66.24313354,20.87569046,26.74365997,136.88000490000002
2017/4/11,48.48649597,66.69019318,20.92887497,26.77039337,136.07000730000001
2017/4/12,48.49565125,66.16862488,20.94660187,26.52978325,138.2700043
2017/4/13,48.34922028,65.8235321,20.83136559,26.34263802,140.83999630000002
2017/4/17,48.45904541,66.223526,20.98206329,26.41393089,126.0699997
2017/4/18,48.44073868,65.76470947,21.10616112,26.59216309,125.90000149999999
2017/4/19,48.68783569,65.87451172,21.46960449,26.73474503,124.54000090000001
2017/4/20,48.90747833,66.4313736,20.95546722,26.97535896,123.1100006
2017/4/21,48.94408798,65.92549133,20.45906067,26.33372688,123.0100021
2017/4/24,49.00815201,66.58823395,20.92887497,26.33372688,123.9100037
2017/4/25,49.36507416,66.75294495,21.48733139,26.24461174,124.3899994
2017/4/26,49.20949554,67.91372681,21.17707825,26.07529068,123.08000179999999
2017/4/27,50.94834137,68.30588531,21.51392555,25.91488457,124.16999820000001
2017/4/28,51.29611588,68.15686035,21.9748745,25.83467674,124.27999879999999
2017/5/1,51.53406143,68.07843018,21.85077477,25.79011917,124.0
2017/5/2,51.20460129,68.79216003,21.9748745,25.83467674,123.70999909999999
2017/5/3,50.39009094,68.89804077,21.9926033,26.04855537,123.20999909999999
2017/5/4,50.50905609,69.83529663,22.30286026,26.02181816,125.0
2017/5/5,50.47245026,69.94117737,22.40036774,26.03964615,122.4100037
2017/5/8,50.28026199,68.63529205,22.40036774,25.90597153,117.79000090000001
2017/5/9,50.62803268,69.57254791,22.94109154,25.78120995,119.7300034
2017/5/10,50.4632988,69.05097961,23.49068642,25.57624245,118.22000120000001
2017/5/11,50.4632988,69.1764679,23.41977501,25.72773933,116.4300003
2017/5/12,50.36262131,68.87059021,23.56160736,25.19304657,115.1900024
2017/5/15,50.42668915,69.06666565,23.74775505,25.11284065,117.34999850000001
2017/5/16,49.77690506,69.34902191,22.32058525,24.98807526,117.7600021
2017/5/17,49.79521179,68.45490265,22.23194504,24.42664719,120.4899979
2017/5/18,49.218647,69.43137359999999,22.41809654,24.48903084,128.8000031
2017/5/19,49.43828583,69.72940826,22.73721504,24.9969883,131.4299927
2017/5/22,49.5114975,70.94509888,22.87904358,25.11284065,134.42999269999999
2017/5/23,49.612178799999995,71.41176605,22.82586098,25.2019558,136.16000369999998
2017/5/24,49.25525284,71.22744751,22.95882416,24.80093575,138.1000061
2017/5/25,49.77690506,71.8666687,23.1006546,24.49794006,138.41000369999998
2017/5/26,49.39253616,71.63921356,23.14497757,24.46229553,134.38000490000002
2017/5/30,49.35591888,71.72156525,23.30453873,24.38209152,130.4900055
2017/5/31,49.37422943,72.14509583,23.52614594,24.3999157,129.3300018
2017/6/1,49.90503311,73.14117432,24.10233498,24.70290756,129.2799988
2017/6/2,50.30771637,73.16470337,23.83640289,24.84549332,131.5
2017/6/5,47.91907883,72.63137054,23.73002815,24.93460846,124.02999879999999
2017/6/6,47.278446200000005,72.1764679,23.36658478,24.89005089,122.2699966
2017/6/7,48.11127472,72.70587921,23.36658478,24.66726303,119.15000149999999
2017/6/8,48.36751556,72.22744751,23.38431549,24.58705711,119.75
2017/6/9,49.19117737,72.84313965,23.21589088,24.89896584,119.04000090000001
2017/6/12,49.74945068,72.16470337,23.4375,25.79011917,116.4400024
2017/6/13,49.59386444,72.05882263,23.9250412,25.35345078,118.5199966
2017/6/14,49.89588547,72.16470337,25.82202911,25.56733131,120.0899963
2017/6/15,49.6762352,72.02352905,26.60209846,26.01646423,120.3700027
2017/6/16,49.84096909,71.65882111,26.52231979,26.29720497,118.0500031
2017/6/19,50.53651047,72.57254791,27.14282799,26.11584473,122.27999879999999
2017/6/20,50.93919373,71.41960907,26.69074249,25.50828743,124.58000179999999
2017/6/21,51.31441498,71.87059021,27.60217667,25.19091034,133.9900055
2017/6/22,52.46754837,72.25882721,27.83450127,24.98234367,135.63000490000002
2017/6/23,51.83608246,72.223526,27.92385864,25.00048256,136.27999880000002
2017/6/26,52.09233093,72.53333282,27.98640633,25.0367527,134.66999819999998
2017/6/27,51.15884018,71.71372223,28.00428009,24.67403412,130.3099976
