Date,MMC,FIS,CTXS,AJG,ARE
2016/6/13,60.40385818,69.8793335,66.73229218,43.04443741,87.65508270000001
2016/6/14,60.30289078,70.4236145,66.58404541,42.34770966,87.09456635
2016/6/15,59.97247314,70.29948425,65.92086029,41.94051361,87.6016922
2016/6/16,60.58742905,70.43317413,65.86624908,42.17578506,87.73516846
2016/6/17,60.44974899,69.50691223,65.39031219,42.1576767,87.29029083
2016/6/20,61.00965118,69.60241699,66.42799377,42.34770966,87.1212616
2016/6/21,61.25746918,69.984375,66.50601959,42.33865356,87.1212616
2016/6/22,61.32171631,69.83158112,66.40459442,42.34770966,87.6016922
2016/6/23,62.33135223,70.57640839,67.37207031,43.03539658,88.29569244
2016/6/24,59.55025101,67.48252869,62.84679413,41.03564072,88.40244293
2016/6/27,58.494731900000005,65.27672577,60.09260941,39.86837769,88.19781494
2016/6/28,60.20193100000001,67.83586121,61.83250046,40.97230911,89.57015991
2016/6/29,61.28499985,69.18225861,62.90921021,41.94956207,91.30129242
2016/6/30,62.836170200000005,70.35678101,62.48788834,43.07159042,92.85301208
2016/7/1,62.51493454,71.13980103,62.69855118,43.25255966,93.49883270000001
2016/7/5,62.03762817,71.2448349,61.84030151,43.02635193,94.20743561
2016/7/6,61.59706497,70.90106964,62.08216858,43.31591034,94.47651672
2016/7/7,61.62473679,71.38803864,62.95602036,43.43353271,90.83486938
2016/7/8,61.96607971,72.60077667,65.17964935,44.06694412,92.19824219
2016/7/11,61.94762802,72.5816803,64.94557953,44.32030869,93.04139709
2016/7/12,62.08601379,73.47929382,65.51515198,44.49223328,92.46733856
2016/7/13,61.85539246,73.6607132,65.60877228,44.13029861,93.66029358
2016/7/14,61.77234268,73.42199707,66.2329483,44.29315567,93.06829834
2016/7/15,61.366436,73.08779144,66.19393921,44.35650635,92.98757935
2016/7/18,61.31108475,73.41243744,66.10811615,44.00360489,93.75894928
2016/7/19,61.20960999,73.67983246,66.38899231,44.06694412,94.10874939
2016/7/20,61.28342056,74.48194122,67.09119415,44.13933182,95.35553741
2016/7/21,60.84981918,74.31961059999999,66.49040985,44.00360489,96.14484406
2016/7/22,61.32954788,74.46282959,67.94163513,44.48318863,97.59792328
2016/7/25,61.10812378,74.38643646,68.87790679999999,44.80893707,98.02847290000001
2016/7/26,61.47714233,77.19384003,69.69712829999999,44.7546463,98.0015564
2016/7/27,61.32031631,77.14608002,68.64382935,44.79084015,97.588974
2016/7/28,61.39411545,76.73548126,69.48648071,44.70940018,99.58917999
2016/7/29,60.65610123,75.94290924,69.54108429,44.510330200000006,100.72830959999999
2016/8/1,60.83137131,75.62779999,67.58273315,44.83608246,100.95256040000001
2016/8/2,60.96976471,74.93071747,65.12503815,44.32030869,98.19888306
2016/8/3,61.043552399999996,74.62516785,66.17052460000001,44.33840561,99.35595703
2016/8/4,61.16349029999999,74.6920166,65.50733948,44.24792099,100.8000717
2016/8/5,61.4679184,75.65645599,66.31877136,44.60986328,99.93003082
2016/8/8,61.87382126,75.82833862,66.27976227,44.70940018,100.5847931
2016/8/9,61.79080582,76.1339035,66.42020416,44.86323166,101.0960617
2016/8/10,61.94762802,76.24849701,66.79470825,44.99895096,99.66990662
2016/8/11,62.1505928,76.8691864,68.01964569,45.01705933,99.31111908
2016/8/12,62.16902542,76.42992401,68.00405884,44.68225479,100.862854
2016/8/15,62.1505928,76.47766113,68.23812103,44.60986328,99.33802795
2016/8/16,61.85539246,75.33179474,67.60613251,44.13029861,98.52179718
2016/8/17,61.92918015,75.58006287,67.87141418,43.97646332,98.25269318
2016/8/18,61.91072464,75.66601563,68.5736084,43.90407944,98.84469604
2016/8/19,61.85539246,75.70420837,68.34734344,43.92216873,98.01950073
2016/8/22,62.08601379,75.92382813,68.23812103,44.15743256,98.5756073
2016/8/23,61.92918015,76.45856476,68.90130615,43.8588295,98.3782959
2016/8/24,61.96607971,75.97157288,68.70623779,43.98551178,97.77731323
2016/8/25,62.37200546,76.01932526,68.87790679999999,44.23885345,97.98361206
2016/8/26,61.98453903,75.93336487,68.76085663,44.35650635,97.11359406
2016/8/29,62.65798569,75.79968262,69.08075714,44.85418701,98.43210602
2016/8/30,62.47346878,75.93336487,68.56581116,44.82703018,98.9254303
2016/8/31,62.39042664,75.75196075,68.0352478,45.05500031,98.74603271
2016/9/1,62.53806305,76.04795837,68.09767151,45.06412125,98.65632629
2016/9/2,63.00854111,76.81187439,67.86360168,45.58387375,100.3246994
2016/9/6,62.89783859,76.78324127,68.30052948,45.63858795,100.8269882
2016/9/7,62.80557632,76.43947601,68.05086517,46.00333405,102.719574
